#INTRO.CC
#!Name!!Type!!Hash!!Size!!Description
WHITE.PAL,,,,0xE14C,,768,,
EG280001.RAW,,,,0x595C,,64000,,
SC28A.EG2,,,,0xE300,,53603,,
SC28B1.EG2,,,,0x941F,,49399,,
SC28C.EG2,,,,0xE320,,11455,,
SC28D.EG2,,,,0xE330,,9846,,
SC28E.EG2,,,,0xE340,,6305,,
SC28F.EG2,,,,0xE350,,1585,,
SC28G.EG2,,,,0xE360,,2994,,
SC28H.EG2,,,,0xE370,,4776,,
SC28I.EG2,,,,0xE380,,5276,,
SC28J.EG2,,,,0xE390,,3603,,
SC28K.EG2,,,,0xE3A0,,27356,,
SC28L.EG2,,,,0xE3B0,,58686,,
SC28M.EG2,,,,0xE3C0,,61402,,
SC28N.EG2,,,,0xE3D0,,22392,,
SC30.EG2,,,,0xF337,,28382,,
BALL.INT,,,,0xA2A4,,9673,,
BIRD01.INT,,,,0x6B3D,,46815,,
BIRD02.INT,,,,0x6B4D,,47335,,
BIRD03.INT,,,,0x6B5D,,34493,,
BIRD04.INT,,,,0x6B6D,,36960,,
BIRD05.INT,,,,0x6B7D,,40228,,
BIRD06.INT,,,,0x6B8D,,35341,,
BIRD07.INT,,,,0x6B9D,,39965,,
BIRD08.INT,,,,0x6BAD,,60982,,
BIRD09.INT,,,,0x6BBD,,48984,,
BIRD10.INT,,,,0x8B2D,,22965,,
BIRD11.INT,,,,0x8B3D,,84,,
CLAW.INT,,,,0xC613,,14383,,
DARKLORD.INT,,,,0xB76F,,10561,,
DRAGON.INT,,,,0xD6CC,,15332,,
DRAGON1.INT,,,,0xB61C,,15942,,
DROP1.INT,,,,0x687D,,62880,,
DROP2.INT,,,,0x688D,,65123,,
DROP3.INT,,,,0x689D,,64133,,
DROP4.INT,,,,0x68AD,,15609,,
END1.INT,,,,0x2435,,58161,,
END2.INT,,,,0x2445,,43212,,
END3.INT,,,,0x2455,,9955,,
FLY.INT,,,,0xA493,,62347,,
GOON.INT,,,,0x8647,,36628,,
NWC1.INT,,,,0x8679,,52459,,
NWC2.INT,,,,0x8689,,63022,,
NWC3.INT,,,,0x8699,,48775,,
NWC4.INT,,,,0x86A9,,20006,,
PYRAMID.INT,,,,0x57D7,,5247,,
PYRATOP.INT,,,,0x1A58,,53161,,
QUEEN.INT,,,,0x94CD,,27238,,
TITLE.INT,,,,0x7AF8,,19409,,
WIZARD.INT,,,,0xABDF,,10651,,
FIZZLE.INT,,,,0xF20C,,52482,,
WIZMTH.INT,,,,0xEF1F,,5288,,
