#XEEN.CC
#!Name!!Type!!Hash!!Size!!Description
,,,,0x2A0C,,57209,,Save Game Block 1
,,,,0x2A1C,,57209,,Save Game Block 2
,,,,0x2A2C,,57209,,Save Game Block 3
,,,,0x2A3C,,57209,,Save Game Block 4
,,,,0x284C,,57209,,Save Game Block 5
000.ATT,,Sprite: Monster Attack,,0x2860,,12390,,
000.MON,,Sprite: Monster Idle,,0x1E8A,,17325,,
000.OBJ,,Sprite: Object,,0x048E,,10730,,
000.PIC,,Sprite: Wall Picture,,0x128B,,6703,,
001.ATT,,Sprite: Monster Attack,,0x2870,,12539,,
001.MON,,Sprite: Monster Idle,,0x1E9A,,10663,,
001.OBJ,,Sprite: Object,,0x049E,,7709,,
001.PIC,,Sprite: Wall Picture,,0x129B,,3196,,
002.ATT,,Sprite: Monster Attack,,0x2880,,17233,,
002.MON,,Sprite: Monster Idle,,0x1EAA,,12489,,
002.OBJ,,Sprite: Object,,0x04AE,,6771,,
003.ATT,,Sprite: Monster Attack,,0x2890,,13045,,
003.MON,,Sprite: Monster Idle,,0x1EBA,,19145,,
003.OBJ,,Sprite: Object,,0x04BE,,4735,,
003.PIC,,Sprite: Wall Picture,,0x12BB,,1049,,
004.ATT,,Sprite: Monster Attack,,0x28A0,,22462,,
004.MON,,Sprite: Monster Idle,,0x1ECA,,34215,,
004.OBJ,,Sprite: Object,,0x04CE,,3159,,
004.PIC,,Sprite: Wall Picture,,0x12CB,,4105,,
005.ATT,,Sprite: Monster Attack,,0x28B0,,19330,,
005.MON,,Sprite: Monster Idle,,0x1EDA,,49428,,
005.OBJ,,Sprite: Object,,0x04DE,,14037,,
005.PIC,,Sprite: Wall Picture,,0x12DB,,713,,
006.ATT,,Sprite: Monster Attack,,0x28C0,,15639,,
006.MON,,Sprite: Monster Idle,,0x1EEA,,19022,,
006.OBJ,,Sprite: Object,,0x04EE,,5534,,
006.PIC,,Sprite: Wall Picture,,0x12EB,,241,,
007.ATT,,Sprite: Monster Attack,,0x28D0,,25403,,
007.MON,,Sprite: Monster Idle,,0x1EFA,,29539,,
007.OBJ,,Sprite: Object,,0x04FE,,4447,,
007.PIC,,Sprite: Wall Picture,,0x12FB,,137,,
008.ATT,,Sprite: Monster Attack,,0x28E0,,22004,,
008.MON,,Sprite: Monster Idle,,0x1F0A,,35946,,
008.OBJ,,Sprite: Object,,0x050E,,18331,,
009.ATT,,Sprite: Monster Attack,,0x28F0,,14892,,
009.MON,,Sprite: Monster Idle,,0x1F1A,,22076,,
009.OBJ,,Sprite: Object,,0x051E,,12450,,
009.PIC,,Sprite: Wall Picture,,0x131B,,310,,
010.ATT,,Sprite: Monster Attack,,0x4860,,13061,,
010.MON,,Sprite: Monster Idle,,0x3E8A,,20321,,
010.OBJ,,Sprite: Object,,0x248E,,4340,,
010.PIC,,Sprite: Wall Picture,,0x328B,,1214,,
011.ATT,,Sprite: Monster Attack,,0x4870,,24540,,
011.MON,,Sprite: Monster Idle,,0x3E9A,,32171,,
011.OBJ,,Sprite: Object,,0x249E,,7355,,
012.ATT,,Sprite: Monster Attack,,0x4880,,20618,,
012.MON,,Sprite: Monster Idle,,0x3EAA,,23660,,
012.OBJ,,Sprite: Object,,0x24AE,,24366,,
012.PIC,,Sprite: Wall Picture,,0x32AB,,231,,
013.ATT,,Sprite: Monster Attack,,0x4890,,19479,,
013.MON,,Sprite: Monster Idle,,0x3EBA,,10856,,
013.OBJ,,Sprite: Object,,0x24BE,,11461,,
013.PIC,,Sprite: Wall Picture,,0x32BB,,451,,
014.OBJ,,Sprite: Object,,0x24CE,,4546,,
014.PIC,,Sprite: Wall Picture,,0x32CB,,407,,
015.OBJ,,Sprite: Object,,0x24DE,,3755,,
015.PIC,,Sprite: Wall Picture,,0x32DB,,8129,,
016.ATT,,Sprite: Monster Attack,,0x48C0,,25411,,
016.MON,,Sprite: Monster Idle,,0x3EEA,,27998,,
016.OBJ,,Sprite: Object,,0x24EE,,13602,,
016.PIC,,Sprite: Wall Picture,,0x32EB,,5295,,
017.ATT,,Sprite: Monster Attack,,0x48D0,,14402,,
017.MON,,Sprite: Monster Idle,,0x3EFA,,10837,,
017.OBJ,,Sprite: Object,,0x24FE,,4884,,
017.PIC,,Sprite: Wall Picture,,0x32FB,,1987,,
018.OBJ,,Sprite: Object,,0x250E,,13120,,
018.PIC,,Sprite: Wall Picture,,0x330B,,1439,,
019.ATT,,Sprite: Monster Attack,,0x48F0,,15139,,
019.MON,,Sprite: Monster Idle,,0x3F1A,,55600,,
019.OBJ,,Sprite: Object,,0x251E,,3171,,
019.PIC,,Sprite: Wall Picture,,0x331B,,1420,,
020.ATT,,Sprite: Monster Attack,,0x6860,,32807,,
020.MON,,Sprite: Monster Idle,,0x5E8A,,37190,,
020.OBJ,,Sprite: Object,,0x448E,,56552,,
020.PIC,,Sprite: Wall Picture,,0x528B,,1421,,
021.OBJ,,Sprite: Object,,0x449E,,19857,,
021.PIC,,Sprite: Wall Picture,,0x529B,,3629,,
022.ATT,,Sprite: Monster Attack,,0x6880,,17747,,
022.MON,,Sprite: Monster Idle,,0x5EAA,,17673,,
022.OBJ,,Sprite: Object,,0x44AE,,18074,,
023.ATT,,Sprite: Monster Attack,,0x6890,,12236,,
023.MON,,Sprite: Monster Idle,,0x5EBA,,2945,,
023.OBJ,,Sprite: Object,,0x44BE,,8921,,
023.PIC,,Sprite: Wall Picture,,0x52BB,,4964,,
024.ATT,,Sprite: Monster Attack,,0x68A0,,12581,,
024.MON,,Sprite: Monster Idle,,0x5ECA,,11140,,
024.OBJ,,Sprite: Object,,0x44CE,,24127,,
024.PIC,,Sprite: Wall Picture,,0x52CB,,2167,,
025.ATT,,Sprite: Monster Attack,,0x68B0,,14663,,
025.MON,,Sprite: Monster Idle,,0x5EDA,,11269,,
025.OBJ,,Sprite: Object,,0x44DE,,1624,,
025.PIC,,Sprite: Wall Picture,,0x52DB,,1430,,
026.ATT,,Sprite: Monster Attack,,0x68C0,,9535,,
026.MON,,Sprite: Monster Idle,,0x5EEA,,11410,,
026.OBJ,,Sprite: Object,,0x44EE,,3068,,
026.PIC,,Sprite: Wall Picture,,0x52EB,,1156,,
027.ATT,,Sprite: Monster Attack,,0x68D0,,16902,,
027.MON,,Sprite: Monster Idle,,0x5EFA,,23690,,
027.OBJ,,Sprite: Object,,0x44FE,,4587,,
027.PIC,,Sprite: Wall Picture,,0x52FB,,1151,,
028.ATT,,Sprite: Monster Attack,,0x68E0,,43964,,
028.MON,,Sprite: Monster Idle,,0x5F0A,,43323,,
028.OBJ,,Sprite: Object,,0x450E,,4708,,
028.PIC,,Sprite: Wall Picture,,0x530B,,203,,
029.ATT,,Sprite: Monster Attack,,0x68F0,,23209,,
029.MON,,Sprite: Monster Idle,,0x5F1A,,20524,,
030.ATT,,Sprite: Monster Attack,,0x8860,,27605,,
030.MON,,Sprite: Monster Idle,,0x7E8A,,30243,,
030.OBJ,,Sprite: Object,,0x648E,,13288,,
031.ATT,,Sprite: Monster Attack,,0x8870,,14888,,
031.MON,,Sprite: Monster Idle,,0x7E9A,,15143,,
031.OBJ,,Sprite: Object,,0x649E,,15934,,
032.ATT,,Sprite: Monster Attack,,0x8880,,27236,,
032.MON,,Sprite: Monster Idle,,0x7EAA,,11089,,
032.OBJ,,Sprite: Object,,0x64AE,,5976,,
033.ATT,,Sprite: Monster Attack,,0x8890,,14485,,
033.MON,,Sprite: Monster Idle,,0x7EBA,,22769,,
033.OBJ,,Sprite: Object,,0x64BE,,8929,,
033.PIC,,Sprite: Wall Picture,,0x72BB,,7220,,
034.ATT,,Sprite: Monster Attack,,0x88A0,,45807,,
034.MON,,Sprite: Monster Idle,,0x7ECA,,24757,,
034.OBJ,,Sprite: Object,,0x64CE,,5126,,
035.ATT,,Sprite: Monster Attack,,0x88B0,,17388,,
035.MON,,Sprite: Monster Idle,,0x7EDA,,19794,,
035.OBJ,,Sprite: Object,,0x64DE,,6843,,
036.ATT,,Sprite: Monster Attack,,0x88C0,,37001,,
036.MON,,Sprite: Monster Idle,,0x7EEA,,55917,,
036.OBJ,,Sprite: Object,,0x64EE,,3483,,
037.ATT,,Sprite: Monster Attack,,0x88D0,,20420,,
037.MON,,Sprite: Monster Idle,,0x7EFA,,27694,,
037.OBJ,,Sprite: Object,,0x64FE,,16735,,
038.ATT,,Sprite: Monster Attack,,0x88E0,,22161,,
038.MON,,Sprite: Monster Idle,,0x7F0A,,27767,,
038.OBJ,,Sprite: Object,,0x650E,,6039,,
039.ATT,,Sprite: Monster Attack,,0x88F0,,25733,,
039.MON,,Sprite: Monster Idle,,0x7F1A,,11401,,
040.ATT,,Sprite: Monster Attack,,0xA85C,,20538,,
040.MON,,Sprite: Monster Idle,,0x9E86,,39806,,
040.OBJ,,Sprite: Object,,0x848A,,15521,,
041.OBJ,,Sprite: Object,,0x849A,,5909,,
042.ATT,,Sprite: Monster Attack,,0xA87C,,33064,,
042.MON,,Sprite: Monster Idle,,0x9EA6,,35664,,
042.OBJ,,Sprite: Object,,0x84AA,,2240,,
043.ATT,,Sprite: Monster Attack,,0xA88C,,10045,,
043.MON,,Sprite: Monster Idle,,0x9EB6,,6452,,
044.ATT,,Sprite: Monster Attack,,0xA89C,,17790,,
044.MON,,Sprite: Monster Idle,,0x9EC6,,45097,,
044.OBJ,,Sprite: Object,,0x84CA,,7957,,
045.ATT,,Sprite: Monster Attack,,0xA8AC,,25423,,
045.MON,,Sprite: Monster Idle,,0x9ED6,,23865,,
045.OBJ,,Sprite: Object,,0x84DA,,6263,,
046.OBJ,,Sprite: Object,,0x84EA,,6503,,
047.ATT,,Sprite: Monster Attack,,0xA8CC,,13933,,
047.MON,,Sprite: Monster Idle,,0x9EF6,,25308,,
047.OBJ,,Sprite: Object,,0x84FA,,3536,,
048.ATT,,Sprite: Monster Attack,,0xA8DC,,12961,,
048.MON,,Sprite: Monster Idle,,0x9F06,,7799,,
049.ATT,,Sprite: Monster Attack,,0xA8EC,,11081,,
049.MON,,Sprite: Monster Idle,,0x9F16,,6050,,
049.OBJ,,Sprite: Object,,0x851A,,10693,,
050.ATT,,Sprite: Monster Attack,,0xC860,,19951,,
050.MON,,Sprite: Monster Idle,,0xBE8A,,14078,,
051.ATT,,Sprite: Monster Attack,,0xC870,,34977,,
051.MON,,Sprite: Monster Idle,,0xBE9A,,31987,,
051.OBJ,,Sprite: Object,,0xA49E,,25864,,
052.ATT,,Sprite: Monster Attack,,0xC880,,32923,,
052.MON,,Sprite: Monster Idle,,0xBEAA,,10868,,
052.OBJ,,Sprite: Object,,0xA4AE,,18561,,
053.ATT,,Sprite: Monster Attack,,0xC890,,20995,,
053.MON,,Sprite: Monster Idle,,0xBEBA,,50641,,
053.OBJ,,Sprite: Object,,0xA4BE,,1565,,
054.OBJ,,Sprite: Object,,0xA4CE,,7385,,
055.ATT,,Sprite: Monster Attack,,0xC8B0,,26529,,
055.MON,,Sprite: Monster Idle,,0xBEDA,,45748,,
055.OBJ,,Sprite: Object,,0xA4DE,,4748,,
056.ATT,,Sprite: Monster Attack,,0xC8C0,,21439,,
056.MON,,Sprite: Monster Idle,,0xBEEA,,32411,,
056.OBJ,,Sprite: Object,,0xA4EE,,2444,,
057.ATT,,Sprite: Monster Attack,,0xC8D0,,22480,,
057.MON,,Sprite: Monster Idle,,0xBEFA,,21622,,
057.OBJ,,Sprite: Object,,0xA4FE,,7083,,
058.ATT,,Sprite: Monster Attack,,0xC8E0,,13950,,
058.MON,,Sprite: Monster Idle,,0xBF0A,,40489,,
058.OBJ,,Sprite: Object,,0xA50E,,14706,,
059.ATT,,Sprite: Monster Attack,,0xC8F0,,9026,,
059.MON,,Sprite: Monster Idle,,0xBF1A,,16917,,
060.ATT,,Sprite: Monster Attack,,0xE860,,20286,,
060.MON,,Sprite: Monster Idle,,0xDE8A,,47352,,
061.ATT,,Sprite: Monster Attack,,0xE870,,15674,,
061.MON,,Sprite: Monster Idle,,0xDE9A,,14275,,
061.OBJ,,Sprite: Object,,0xC49E,,3764,,
062.ATT,,Sprite: Monster Attack,,0xE880,,19413,,
062.MON,,Sprite: Monster Idle,,0xDEAA,,28465,,
062.OBJ,,Sprite: Object,,0xC4AE,,8084,,
063.ATT,,Sprite: Monster Attack,,0xE890,,19231,,
063.MON,,Sprite: Monster Idle,,0xDEBA,,31686,,
063.OBJ,,Sprite: Object,,0xC4BE,,19334,,
064.ATT,,Sprite: Monster Attack,,0xE8A0,,29630,,
064.MON,,Sprite: Monster Idle,,0xDECA,,39694,,
064.OBJ,,Sprite: Object,,0xC4CE,,16135,,
065.ATT,,Sprite: Monster Attack,,0xE8B0,,29625,,
065.MON,,Sprite: Monster Idle,,0xDEDA,,25806,,
065.OBJ,,Sprite: Object,,0xC4DE,,11855,,
066.ATT,,Sprite: Monster Attack,,0xE8C0,,13504,,
066.MON,,Sprite: Monster Idle,,0xDEEA,,26453,,
066.OBJ,,Sprite: Object,,0xC4EE,,683,,
067.ATT,,Sprite: Monster Attack,,0xE8D0,,20611,,
067.MON,,Sprite: Monster Idle,,0xDEFA,,27444,,
067.OBJ,,Sprite: Object,,0xC4FE,,27416,,
068.ATT,,Sprite: Monster Attack,,0xE8E0,,24320,,
068.MON,,Sprite: Monster Idle,,0xDF0A,,31969,,
068.OBJ,,Sprite: Object,,0xC50E,,8639,,
069.OBJ,,Sprite: Object,,0xC51E,,12348,,
070.ATT,,Sprite: Monster Attack,,0x0861,,18243,,
070.MON,,Sprite: Monster Idle,,0xFE8A,,29384,,
071.ATT,,Sprite: Monster Attack,,0x0871,,34837,,
071.MON,,Sprite: Monster Idle,,0xFE9A,,30881,,
071.OBJ,,Sprite: Object,,0xE49E,,37795,,
072.ATT,,Sprite: Monster Attack,,0x0881,,34426,,
072.MON,,Sprite: Monster Idle,,0xFEAA,,55724,,
072.OBJ,,Sprite: Object,,0xE4AE,,568,,
073.ATT,,Sprite: Monster Attack,,0x0891,,37763,,
073.MON,,Sprite: Monster Idle,,0xFEBA,,49607,,
073.OBJ,,Sprite: Object,,0xE4BE,,6902,,
075.ATT,,Sprite: Monster Attack,,0x08B1,,25882,,
075.MON,,Sprite: Monster Idle,,0xFEDA,,31324,,
076.ATT,,Sprite: Monster Attack,,0x08C1,,17144,,
076.MON,,Sprite: Monster Idle,,0xFEEA,,17718,,
076.OBJ,,Sprite: Object,,0xE4EE,,7662,,
078.OBJ,,Sprite: Object,,0xE50E,,7564,,
079.OBJ,,Sprite: Object,,0xE51E,,1842,,
080.ATT,,Sprite: Monster Attack,,0x2861,,12045,,
080.MON,,Sprite: Monster Idle,,0x1E8B,,20862,,
080.OBJ,,Sprite: Object,,0x048F,,4352,,
081.OBJ,,Sprite: Object,,0x049F,,6860,,
082.OBJ,,Sprite: Object,,0x04AF,,2899,,
083.ATT,,Sprite: Monster Attack,,0x2891,,18970,,
083.MON,,Sprite: Monster Idle,,0x1EBB,,6856,,
083.OBJ,,Sprite: Object,,0x04BF,,3878,,
084.ATT,,Sprite: Monster Attack,,0x28A1,,23314,,
084.MON,,Sprite: Monster Idle,,0x1ECB,,22665,,
084.OBJ,,Sprite: Object,,0x04CF,,7765,,
085.OBJ,,Sprite: Object,,0x04DF,,39347,,
087.OBJ,,Sprite: Object,,0x04FF,,20262,,
088.ATT,,Sprite: Monster Attack,,0x28E1,,30905,,
088.MON,,Sprite: Monster Idle,,0x1F0B,,56134,,
088.OBJ,,Sprite: Object,,0x050F,,20259,,
089.ATT,,Sprite: Monster Attack,,0x28F1,,32151,,
089.MON,,Sprite: Monster Idle,,0x1F1B,,43180,,
089.OBJ,,Sprite: Object,,0x051F,,28324,,
090.OBJ,,Sprite: Object,,0x248F,,1899,,
091.OBJ,,Sprite: Object,,0x249F,,4939,,
092.OBJ,,Sprite: Object,,0x24AF,,846,,
093.OBJ,,Sprite: Object,,0x24BF,,14627,,
094.OBJ,,Sprite: Object,,0x24CF,,2925,,
095.OBJ,,Sprite: Object,,0x24DF,,5393,,
096.OBJ,,Sprite: Object,,0x24EF,,6127,,
100.0BJ,,Sprite: Object,,0x0452,,14539,,
101.0BJ,,Sprite: Object,,0x0462,,8647,,
102.0BJ,,Sprite: Object,,0x0472,,18497,,
103.0BJ,,Sprite: Object,,0x0482,,9307,,
104.0BJ,,Sprite: Object,,0x0492,,6147,,
105.0BJ,,Sprite: Object,,0x04A2,,11844,,
106.0BJ,,Sprite: Object,,0x04B2,,6950,,
107.0BJ,,Sprite: Object,,0x04C2,,37688,,
109.0BJ,,Sprite: Object,,0x04E2,,2357,,
110.0BJ,,Sprite: Object,,0x2452,,11532,,
111.0BJ,,Sprite: Object,,0x2462,,748,,
112.0BJ,,Sprite: Object,,0x2472,,9633,,
113.0BJ,,Sprite: Object,,0x2482,,26294,,
114.0BJ,,Sprite: Object,,0x2492,,34453,,
115.0BJ,,Sprite: Object,,0x24A2,,16227,,
116.0BJ,,Sprite: Object,,0x24B2,,9864,,
117.0BJ,,Sprite: Object,,0x24C2,,23224,,
118.0BJ,,Sprite: Object,,0x24D2,,43150,,
119.0BJ,,Sprite: Object,,0x24E2,,4971,,
120.0BJ,,Sprite: Object,,0x4452,,2003,,
34K.BUF,,,,0xACC6,,34816,,
46K.BUF,,,,0xED06,,47104,,
AAZE0001.HED,,,,0x5651,,2048,,
AAZE0001.TXT,,,,0x7C91,,1051,,
AAZE0002.HED,,,,0x5661,,2048,,
AAZE0002.TXT,,,,0x7CA1,,218,,
AAZE0003.HED,,,,0x5671,,2048,,
AAZE0003.TXT,,,,0x7CB1,,2010,,
AAZE0004.HED,,,,0x5681,,2048,,
AAZE0004.TXT,,,,0x7CC1,,299,,
AAZE0005.HED,,,,0x5691,,2048,,
AAZE0005.TXT,,,,0x7CD1,,2,,
AAZE0006.HED,,,,0x56A1,,2048,,
AAZE0006.TXT,,,,0x7CE1,,462,,
AAZE0007.HED,,,,0x56B1,,2048,,
AAZE0007.TXT,,,,0x7CF1,,1697,,
AAZE0008.HED,,,,0x56C1,,2048,,
AAZE0008.TXT,,,,0x7D01,,539,,
AAZE0009.HED,,,,0x56D1,,2048,,
AAZE0009.TXT,,,,0x7D11,,224,,
AAZE0010.HED,,,,0x7641,,2048,,
AAZE0010.TXT,,,,0x9C81,,3301,,
AAZE0011.HED,,,,0x7651,,2048,,
AAZE0011.TXT,,,,0x9C91,,1685,,
AAZE0012.HED,,,,0x7661,,2048,,
AAZE0012.TXT,,,,0x9CA1,,1324,,
AAZE0013.HED,,,,0x7671,,2048,,
AAZE0013.TXT,,,,0x9CB1,,2,,
AAZE0014.HED,,,,0x7681,,2048,,
AAZE0014.TXT,,,,0x9CC1,,360,,
AAZE0015.HED,,,,0x7691,,2048,,
AAZE0015.TXT,,,,0x9CD1,,1377,,
AAZE0016.HED,,,,0x76A1,,2048,,
AAZE0016.TXT,,,,0x9CE1,,1202,,
AAZE0017.HED,,,,0x76B1,,2048,,
AAZE0017.TXT,,,,0x9CF1,,92,,
AAZE0018.HED,,,,0x76C1,,2048,,
AAZE0018.TXT,,,,0x9D01,,367,,
AAZE0019.HED,,,,0x76D1,,2048,,
AAZE0019.TXT,,,,0x9D11,,1043,,
AAZE0020.HED,,,,0x9641,,2048,,
AAZE0020.TXT,,,,0xBC81,,209,,
AAZE0021.HED,,,,0x9651,,2048,,
AAZE0021.TXT,,,,0xBC91,,63,,
AAZE0022.HED,,,,0x9661,,2048,,
AAZE0022.TXT,,,,0xBCA1,,171,,
AAZE0023.HED,,,,0x9671,,2048,,
AAZE0023.TXT,,,,0xBCB1,,2375,,
AAZE0024.HED,,,,0x9681,,2048,,
AAZE0024.TXT,,,,0xBCC1,,1227,,
AAZE0025.HED,,,,0x9691,,2048,,
AAZE0025.TXT,,,,0xBCD1,,619,,
AAZE0026.HED,,,,0x96A1,,2048,,
AAZE0026.TXT,,,,0xBCE1,,502,,
AAZE0027.HED,,,,0x96B1,,2048,,
AAZE0027.TXT,,,,0xBCF1,,1980,,
AAZE0028.HED,,,,0x96C1,,2048,,
AAZE0028.TXT,,,,0xBD01,,3027,,
AAZE0029.HED,,,,0x96D1,,2048,,
AAZE0029.TXT,,,,0xBD11,,1098,,
AAZE0030.HED,,,,0xB641,,2048,,
AAZE0030.TXT,,,,0xDC81,,2310,,
AAZE0031.HED,,,,0xB651,,2048,,
AAZE0031.TXT,,,,0xDC91,,1028,,
AAZE0032.HED,,,,0xB661,,2048,,
AAZE0032.TXT,,,,0xDCA1,,1762,,
AAZE0033.HED,,,,0xB671,,2048,,
AAZE0033.TXT,,,,0xDCB1,,942,,
AAZE0034.HED,,,,0xB681,,2048,,
AAZE0034.TXT,,,,0xDCC1,,821,,
AAZE0035.HED,,,,0xB691,,2048,,
AAZE0035.TXT,,,,0xDCD1,,927,,
AAZE0036.HED,,,,0xB6A1,,2048,,
AAZE0036.TXT,,,,0xDCE1,,537,,
AAZE0037.HED,,,,0xB6B1,,2048,,
AAZE0037.TXT,,,,0xDCF1,,665,,
AAZE0038.HED,,,,0xB6C1,,2048,,
AAZE0038.TXT,,,,0xDD01,,329,,
AAZE0039.HED,,,,0xB6D1,,2048,,
AAZE0039.TXT,,,,0xDD11,,328,,
AAZE0040.HED,,,,0xD641,,2048,,
AAZE0040.TXT,,,,0xFC81,,276,,
AAZE0041.HED,,,,0xD651,,2048,,
AAZE0041.TXT,,,,0xFC91,,135,,
AAZE0042.HED,,,,0xD661,,2048,,
AAZE0042.TXT,,,,0xFCA1,,2218,,
AAZE0043.HED,,,,0xD671,,2048,,
AAZE0043.TXT,,,,0xFCB1,,2217,,
